id_comment,id_post,post_date,sentiment,content,id_status
11,40,,,Em xin JD intern NodeJS HCM ạ,1872
12,40,25-7-2022 03:17,,E xin jd intern mobile hn ạ,1874
13,40,,,em xin jd intern ạ,1876
14,40,,,Em xin jd intern ạ,1878
15,40,,,Em xin jd intern mobile ạ,1879
16,40,,,em xin jd node hn ạ,1883
17,40,,,Em xin jd mobile ạ,1886
18,40,,,Em xin jd mobile intern ạ,1888
19,40,,,Em xin jd intern ạ,1889
20,40,,,em xin jd intern mobile ạ,1891
21,40,23-7-2022 19:03,,em xin jd viisw ạ,1893
22,40,,,Em xin jd mobile a,1895
23,40,23-7-2022 18:11,,Xin nd nodejs,1897
24,40,22-7-2022 17:17,,Em xin jd nodejs ạ,1899
25,40,22-7-2022 21:12,,Xin jd ạ,1901
26,40,,,Em xin jd nodejs ạ,1903
27,40,,,Em xin jd node js hà nội ạ,1905
28,40,24-7-2022 13:17,,em xin jd ạ,1907
29,40,,,Dạ cho em xin JD ạ,1910
30,40,25-7-2022 10:18,,Cho em xin JD intenr mobile ạ,1912
31,40,,,Ngọc Hiền xin jd nodejs hcm,1914
32,40,22-7-2022 17:27,,Nodejs inter aj,1916
33,40,,,Chị gửi giúp em JD NodeJS Intern ạ,1918
34,40,,,NgNgoc Anh Tuấn mobile kìa,1920
35,40,,,em xin intern nodejs hcm ạ,1921
36,40,22-7-2022 18:23,,e xin jd intern mobile ạ,1923
37,40,22-7-2022 17:24,,Cho e xin jd intern nodejs hcm ạ,1925
38,40,27-7-2022 00:19,,nodejs có nhận part time k ạ,1927
39,40,22-7-2022 18:02,,Em xin jd intern nodejs hcm ạ,1929
40,40,23-7-2022 08:06,,E xin jd mobile ạ,1931
41,40,,,E xin jd intern nodejs HN voi a,1932
1,41,10-10-2022 17:53,,"cho em xin jd react, node, react native ạ",1935
2,41,7-10-2022 06:58,,Cho em.xin jd mobie react native với ạ,1937
3,41,3-10-2022 23:32,,Cho e xin JD BE ruby ạ,1939
4,41,,,Cho em xin jd ạ,1940
5,41,2-10-2022 21:47,,cho em xin hết JD với ạ :))),1942
6,41,4-10-2022 00:18,,cho e xin jd vị trí intern chị ơi.,1944
7,41,6-10-2022 09:35,,cho em xin job backend python ạ,1951
8,41,30-9-2022 23:30,,cho e xin jd FE ạ :)),1953
9,41,1-10-2022 00:09,,E xin jd FE với ạ,1955
1,42,15-8-2022 22:27,,em xin jd PHP với ạ,1958
2,42,,,Em xin jd intern AI ạ,1959
3,42,24-8-2022 15:55,,em xin jd Intern AI vs ạ,1961
4,42,20-8-2022 04:41,,Em xin job php vs Ạ,1963
5,42,15-8-2022 23:05,,cho em xin job AI vs ạ,1966
6,42,16-8-2022 09:06,,Em xin jd AI ạ,1968
7,42,,,em xin jd AI ạ,1971
8,42,15-8-2022 22:02,,cho em xin jd AI với ạ,1973
9,42,16-8-2022 07:22,,E xin jd AI,1975
10,42,19-8-2022 10:24,,"TUYỂN DỤNG IT
SỐ LƯỢNG: 3 Thành viên
MÔ TẢ CÔNG VIỆC:… Xem thêm",1977
11,42,,,Nguyễn Chiếnn,1978
12,42,,,EM xin jd AI ạ,1979
13,42,15-8-2022 23:32,,em xin jd của AI với ạ,1982
14,42,16-8-2022 11:27,,.,1984
15,42,,,e xin jd php ạ,1985
16,42,15-8-2022 22:04,,Cho e xin jd php ạ,1987
1,43,27-7-2022 11:02,,Em xin php laravel vợi ạ,1990
2,43,28-7-2022 14:54,,mình xin jd reactjs nodejs,1992
3,43,27-7-2022 10:36,,em xin jd react native,1994
4,43,27-7-2022 19:53,,xin jd react js ạ,1996
5,43,27-7-2022 19:00,,em xin jd intern reactjs ạ,1998
6,43,27-7-2022 14:57,,em xin intern python với ạ,2000
7,43,27-7-2022 13:50,,"đưojc đi làm cùng Lisa ạ
thế thì cho e xin jd với ạ",2002
8,43,,,Em xin intern python với ạ,2003
9,43,27-7-2022 14:15,,em xin jd python với ạ,2005
10,43,27-7-2022 15:29,,M xin jd reactjs intern với ạ,2007
11,43,,,em xin jd reactjs ạ,2008
12,43,30-7-2022 10:31,,Em xin jd intern python với ạ,2012
13,43,,,Đi làm cùng Lisa thì cho mình xin JD Php Laravel,2015
14,43,,,B check ib mình,2017
15,43,27-7-2022 12:38,,em xin jd php laravel với ạ,2019
16,43,28-7-2022 08:49,,Mình xin jd node js với,2021
17,43,,,Em xin ReactJS với ạ,2022
18,43,27-7-2022 13:03,,Em xin jd intern php ạ,2024
19,43,27-7-2022 16:46,,Em xin jd ltv mobile với ạ,2026
20,43,27-7-2022 10:54,,M Xin jd reactjs ạ,2028
21,43,29-7-2022 15:05,,Em xin jd python với,2030
22,43,,,Em xin JD python intern với ạ,2032
23,43,27-7-2022 19:31,,Em xin jd reactjs với ạ,2034
24,43,,,em xin jd node js ạ,2035
25,43,,,em xin php laravel với ạ,2037
26,43,27-7-2022 21:43,,em xin jd reactjs với ạ,2039
27,43,27-7-2022 11:41,,Em xin jd Reactjs,2041
28,43,,,Em xin jd nodejs ạ,2043
29,43,27-7-2022 13:08,,Em xin jd nodejs ạ,2045
30,43,,,em xin jd intern reactjs ạ,2046
31,43,27-7-2022 12:48,,E xin job reactjs,2048
32,43,30-7-2022 09:31,,em xin jd Fresher PHP ạ,2050
33,43,27-7-2022 14:39,,Em xin jd NodeJs ạ,2052
34,43,27-7-2022 13:41,,cho e xin jd Reactjs với ạ,2054
35,43,27-7-2022 20:26,,E xin jd intern ReactJs vs ạ,2056
36,43,27-7-2022 19:04,,em xin jd ạ,2058
37,43,,,em xin jd intern mobile,2060
38,43,28-7-2022 07:55,,Em xin php laravel ạ!!,2062
39,43,27-7-2022 21:21,,E xin jd intern PHP laravel ạ,2064
40,43,27-7-2022 18:45,,Em xin jd php với ạ,2066
41,43,27-7-2022 13:05,,Em xin jd reactjs ạ,2070
42,43,30-7-2022 15:37,,Em xin php laravel ạ,2072
43,43,27-7-2022 16:05,,Em xin jd php/laravel ạ,2074
44,43,28-7-2022 10:10,,em xin jd intern reactjs ạ,2076
45,43,27-7-2022 16:12,,E xin jd intern PHP laravel ạ,2078
46,43,,,Em xin jd intern php/laravel ạ,2080
47,43,27-7-2022 18:03,,E xin ReactJs,2082
48,43,27-7-2022 17:07,,E xin jd intern reactjs,2084
49,43,27-7-2022 11:31,,Em xin jd reactjs với ạ,2086
50,43,27-7-2022 17:42,,em xin jd reactjs ạ,2088
51,43,27-7-2022 10:37,,Em xin reactjs với ạ,2090
52,43,2-8-2022 22:33,,Cho em xin JD intern tester tiếng Nhật với ạ!,2092
53,43,,,Em xin jd reactjs ạ,2093
54,43,27-7-2022 18:32,,e xin jd intern reactjs ạ,2096
55,43,28-7-2022 18:34,,em xin jd reactjs ạ,2098
56,43,28-7-2022 10:31,,"[ LIFESUP - CÔNG TY LÀM VỀ LĨNH VỰC CÔNG NGHỆ THÔNG TIN ] TẠI HOÀNG QUỐC VIỆT TUYỂN 3 BẠN ""GÁN NHÃN DỮ LIỆU, XỬ LÝ HÌNH ẢNH."".
𝑄𝑢𝑦𝑒̂̀𝑛 𝑙𝑜̛̣𝑖:
• 𝐾ℎ𝑜̂𝑛𝑔 𝑦𝑒̂𝑢 𝑐𝑎̂̀𝑢 𝑘𝑖𝑛ℎ 𝑛𝑔ℎ𝑖𝑒̣̂𝑚, Đ𝑢̛𝑜̛̣𝑐 Đ𝑎̀𝑜 𝑡𝑎̣𝑜 𝑣𝑢̛̀𝑎 ℎ𝑜̣𝑐 𝑣𝑢̛̀𝑎 𝑙𝑎̀𝑚
• Làm việc từ thứ 2- thứ 6 + nghỉ t… Xem thêm",2100
57,43,,,E xin jd reactjs,2101
58,43,27-7-2022 15:25,,em xin jd reactjs ạ,2103
59,43,27-7-2022 16:43,,.,2105
60,43,27-7-2022 11:11,,.,2107
61,43,27-7-2022 20:49,,.,2109
62,43,27-7-2022 12:33,,E xin jd react native ạ,2111
63,43,28-7-2022 09:44,,e xiin jd php voi a,2113
1,44,27-7-2022 11:02,,Em xin php laravel vợi ạ,2116
2,44,28-7-2022 14:54,,mình xin jd reactjs nodejs,2118
3,44,27-7-2022 10:36,,em xin jd react native,2120
4,44,27-7-2022 19:53,,xin jd react js ạ,2122
5,44,27-7-2022 19:00,,em xin jd intern reactjs ạ,2124
6,44,27-7-2022 14:57,,em xin intern python với ạ,2126
7,44,27-7-2022 13:50,,"đưojc đi làm cùng Lisa ạ
thế thì cho e xin jd với ạ",2128
8,44,,,Em xin intern python với ạ,2129
9,44,,,em xin jd python với ạ,2131
10,44,27-7-2022 15:29,,M xin jd reactjs intern với ạ,2133
11,44,,,em xin jd reactjs ạ,2134
12,44,30-7-2022 10:31,,Em xin jd intern python với ạ,2138
13,44,27-7-2022 21:53,,Đi làm cùng Lisa thì cho mình xin JD Php Laravel,2141
14,44,27-7-2022 15:27,,B check ib mình,2143
15,44,27-7-2022 12:38,,em xin jd php laravel với ạ,2145
16,44,28-7-2022 08:49,,Mình xin jd node js với,2147
17,44,,,Em xin ReactJS với ạ,2148
18,44,27-7-2022 13:03,,Em xin jd intern php ạ,2150
19,44,27-7-2022 16:46,,Em xin jd ltv mobile với ạ,2152
20,44,27-7-2022 10:54,,M Xin jd reactjs ạ,2154
21,44,29-7-2022 15:05,,Em xin jd python với,2156
22,44,27-7-2022 17:44,,Em xin JD python intern với ạ,2158
23,44,27-7-2022 19:31,,Em xin jd reactjs với ạ,2160
24,44,,,em xin jd node js ạ,2161
25,44,27-7-2022 21:58,,em xin php laravel với ạ,2163
26,44,,,em xin jd reactjs với ạ,2165
27,44,27-7-2022 11:41,,Em xin jd Reactjs,2167
28,44,27-7-2022 20:40,,Em xin jd nodejs ạ,2169
29,44,,,Em xin jd nodejs ạ,2171
30,44,,,em xin jd intern reactjs ạ,2172
31,44,,,E xin job reactjs,2174
32,44,30-7-2022 09:31,,em xin jd Fresher PHP ạ,2176
33,44,,,Em xin jd NodeJs ạ,2178
34,44,,,cho e xin jd Reactjs với ạ,2180
35,44,,,E xin jd intern ReactJs vs ạ,2182
36,44,27-7-2022 19:04,,em xin jd ạ,2184
37,44,27-7-2022 13:54,,em xin jd intern mobile,2186
38,44,28-7-2022 07:55,,Em xin php laravel ạ!!,2188
39,44,27-7-2022 21:21,,E xin jd intern PHP laravel ạ,2190
40,44,27-7-2022 18:45,,Em xin jd php với ạ,2192
41,44,27-7-2022 13:05,,Em xin jd reactjs ạ,2196
42,44,30-7-2022 15:37,,Em xin php laravel ạ,2198
43,44,27-7-2022 16:05,,Em xin jd php/laravel ạ,2200
44,44,28-7-2022 10:10,,em xin jd intern reactjs ạ,2202
45,44,27-7-2022 16:12,,E xin jd intern PHP laravel ạ,2204
46,44,27-7-2022 16:10,,Em xin jd intern php/laravel ạ,2206
47,44,27-7-2022 18:03,,E xin ReactJs,2208
48,44,27-7-2022 17:07,,E xin jd intern reactjs,2210
49,44,27-7-2022 11:31,,Em xin jd reactjs với ạ,2212
50,44,27-7-2022 17:42,,em xin jd reactjs ạ,2214
51,44,27-7-2022 10:37,,Em xin reactjs với ạ,2216
52,44,2-8-2022 22:33,,Cho em xin JD intern tester tiếng Nhật với ạ!,2218
53,44,,,Em xin jd reactjs ạ,2219
54,44,27-7-2022 18:32,,e xin jd intern reactjs ạ,2222
55,44,28-7-2022 18:34,,em xin jd reactjs ạ,2224
56,44,28-7-2022 10:31,,"[ LIFESUP - CÔNG TY LÀM VỀ LĨNH VỰC CÔNG NGHỆ THÔNG TIN ] TẠI HOÀNG QUỐC VIỆT TUYỂN 3 BẠN ""GÁN NHÃN DỮ LIỆU, XỬ LÝ HÌNH ẢNH."".
𝑄𝑢𝑦𝑒̂̀𝑛 𝑙𝑜̛̣𝑖:
• 𝐾ℎ𝑜̂𝑛𝑔 𝑦𝑒̂𝑢 𝑐𝑎̂̀𝑢 𝑘𝑖𝑛ℎ 𝑛𝑔ℎ𝑖𝑒̣̂𝑚, Đ𝑢̛𝑜̛̣𝑐 Đ𝑎̀𝑜 𝑡𝑎̣𝑜 𝑣𝑢̛̀𝑎 ℎ𝑜̣𝑐 𝑣𝑢̛̀𝑎 𝑙𝑎̀𝑚
• Làm việc từ thứ 2- thứ 6 + nghỉ t… Xem thêm",2226
57,44,,,E xin jd reactjs,2227
58,44,27-7-2022 15:25,,em xin jd reactjs ạ,2229
59,44,27-7-2022 16:43,,.,2231
60,44,27-7-2022 11:11,,.,2233
61,44,27-7-2022 20:49,,.,2235
62,44,27-7-2022 12:33,,E xin jd react native ạ,2237
63,44,28-7-2022 09:44,,e xiin jd php voi a,2239
1,45,29-7-2022 00:21,,e xin jd java HN vs ạ,2242
2,45,,,Bạn ơi cho mình xin JD intern reactJS ạ. Mình cảm ơn.,2243
3,45,29-7-2022 17:46,,em xin jd với ạ,2245
4,45,,,Em xin jd react native hn ạ.,2246
5,45,,,Mình xin jd nodejs hcm ạ,2247
6,45,,,em xin jd php hà nội ạ,2248
7,45,,,e xin jd reactjs hcm ạ,2250
8,45,,,Mình xin jd nodejs HCM,2252
9,45,,,Xin JD React Native HCM với ạ,2253
10,45,,,cho e xin jd java Hà Nội với ạ,2254
11,45,1-8-2022 12:58,,Em xin jd java hà nội ạ,2256
12,45,2-8-2022 15:10,,em xin jd reactJS với ạ,2258
13,45,1-8-2022 22:46,,E xin job php tại hà nội ạ,2260
14,45,4-8-2022 11:50,,Xin jd intern reactjs hcm ạ,2262
15,45,28-7-2022 14:03,,E xin jd java HCM ạ,2264
16,45,28-7-2022 19:28,,em xin jd java với ạ,2266
17,45,29-7-2022 17:21,,e xin id intern java,2271
18,45,31-7-2022 07:30,,e xin job HN với ạ,2273
19,45,6-8-2022 17:28,,Cho em xin jd reactjs HN với ạ,2275
20,45,29-7-2022 11:56,,Em xin jd reactjs HCM ạ,2277
21,45,2-8-2022 11:33,,Em xin job reactjs HCM,2279
22,45,31-7-2022 06:49,,Cho e xin jd java hcm ạ,2281
23,45,30-7-2022 20:10,,Em xin jd reactjs hcm ạ,2283
24,45,28-7-2022 20:32,,em xin kd java ạ,2285
25,45,1-8-2022 09:29,,Xin 1 slot intern tại HCM nhé ! Tiếng anh good,2287
26,45,9-8-2022 16:05,,Em xin JD intern React Native HN với ạ,2289
27,45,30-7-2022 13:44,,em xin jd reactjs HN ạ,2291
28,45,3-8-2022 20:09,,Em xin jd reactjs hn ạ,2293
29,45,2-8-2022 14:41,,cho mình xin jd reactjs với ạ,2295
30,45,3-8-2022 00:31,,Cho em xin jd reactjs với ạ,2297
31,45,1-8-2022 15:19,,Em zin JD java HN ạ,2300
32,45,3-8-2022 19:11,,em xin jd reactJS với ạ,2302
33,45,1-8-2022 10:49,,E xin jd reactjs với ạ,2304
34,45,1-8-2022 22:55,,em xin jd ạ,2306
35,45,29-7-2022 13:24,,ib,2309
36,45,1-8-2022 21:28,,cho em xin jd java với ạ. Em cảm ơn,2311
37,45,31-7-2022 23:47,,em xin jd nodejs reactjs php HCM ạ,2313
38,45,29-7-2022 10:50,,em xin jd reactjs hà nội ạ,2315
39,45,28-7-2022 13:44,,Ib,2317
40,45,,,Ib,2318
41,45,,,xin jd reactjs,2319
42,45,31-7-2022 12:46,,mình xin jd Reactjs,2321
43,45,29-7-2022 10:47,,e xin job intern java hà nội với ạ,2323
1,46,27-9-2022 18:00,,Mình xin jd ạ,2326
2,46,27-9-2022 13:25,,gửi CV: hr@litcommerce.com,2328
3,46,,,có tuyển intern parttime k ạ,2329
4,46,27-9-2022 13:26,,...,2331
5,46,,,...,2332
6,46,,,...,2333
7,46,,,.,2334
8,46,27-9-2022 13:25,,ib nhận JD,2336
1,47,13-10-2021 06:33,,bên mình còn tuyển k ạ,2338
2,47,,,bên mình vẫn tuyển nhé!,2339
3,47,,,Em cần tìm việc Fresher PHP và Lavarel ở TPHCM ạ,2340
4,47,,,Nguyet Anhh Nguyen,2341
5,47,,,ib em với,2342
6,47,15-9-2021 23:36,,Em quan tâm lắm ạ!,2344
7,47,14-9-2021 08:05,,e quan tâm ạ!,2346
8,47,16-9-2021 00:53,,Ib mình với,2348
9,47,13-9-2021 19:36,,Có tuyển người làm parttime online từ xa ko bạn ơi?,2350
10,47,13-9-2021 00:44,,E quan tâm ạ,2353
11,47,12-9-2021 21:00,,"mình quan tâm đến khóa này, b ib mình với nhé",2355
12,47,12-9-2021 13:22,,Em quan tâm ạ,2357
13,47,,,em quan tâm ạ!,2358
14,47,,,em quan tâm ạ,2359
1,48,27-9-2022 18:00,,Mình xin jd ạ,2362
2,48,27-9-2022 13:25,,gửi CV: hr@litcommerce.com,2364
3,48,,,có tuyển intern parttime k ạ,2365
4,48,27-9-2022 13:26,,...,2367
5,48,,,...,2368
6,48,,,...,2369
7,48,,,.,2370
8,48,27-9-2022 13:25,,ib nhận JD,2372
1,49,8-10-2022 11:04,,"Còn tuyển ko ạ, e xin job golang nha c Ngọc Hiền",2374
2,49,,,Em xin jd php ạ,2375
3,49,22-7-2022 11:55,,Em xin jd python ạ,2378
4,49,22-7-2022 13:49,,E xin jd python ạ,2380
5,49,23-7-2022 22:37,,em xin jd php và python ạ,2382
6,49,21-7-2022 21:44,,em xin jd php ạ,2384
7,49,22-7-2022 13:24,,E xin JD php ạ,2386
8,49,21-7-2022 20:34,,Em xin jd python ạ,2388
9,49,,,Em xin jd php ạ,2389
10,49,21-7-2022 20:51,,Xin jd python ạ,2391
11,49,22-7-2022 10:59,,Em xin jd PHP ạ,2393
12,49,,,em xin JD php ạ,2395
13,49,26-7-2022 08:37,,.,2397
14,49,21-7-2022 20:40,,.,2399
15,49,,,.,2400
16,49,23-8-2022 12:58,,Xin cho e jd ạ,2402
17,49,23-7-2022 21:18,,e xin jd golang ạ,2404
18,49,22-7-2022 07:55,,Lê Đình Triều,2406
1,50,14-5-2022 04:14,,Em xin jd java ạ,2408
2,50,9-5-2022 20:11,,cho e xin jd ạ,2410
3,50,27-4-2022 19:15,,E xin jd ạ,2412
4,50,,,Em xin jd intern tester ạ,2413
5,50,,,E xin jd tester với ạ,2414
6,50,,,Cho e xin jd với ạ,2415
7,50,,,Em xin JD tts tester ạ,2416
8,50,,,cho em xin jd java với ạ,2417
9,50,27-4-2022 23:11,,e xin JD với ạ,2419
10,50,8-6-2022 10:41,,"GẤP: VSII CẦN NGAY 10 BẠN INTERN JAVA VỀ TEAM HỨA YÊU THƯƠNG VÀ NO DRAMA
Được đào tạo bài bản, tham gia các dự án thực tế của Công ty.
Địa chỉ: Tòa nhà Dolphin Plaza – 28 Trần Bình, Phường Mỹ Đình 2, Quận Nam Từ Liêm, Hà Nội
L… Xem thêm",2420
11,50,,,e xin jd ạ,2421
12,50,28-4-2022 10:07,,chị check ib em với ạ,2424
13,50,27-4-2022 13:20,,cho em xin jd ạ!,2427
14,50,,,Em xin jd intern tester với ạ,2428
15,50,,,Em xin jd BE ạ,2429
16,50,,,Em xin jd intern java ạ,2430
17,50,,,xin jd font end,2431
18,50,,,Em xin jd với ạ,2432
19,50,,,E xin job Java ạ,2433
20,50,,,E xin jd ạ,2434
21,50,,,Cho mình xin jd fresher ba với ạ,2435
22,50,,,.,2436
23,50,,,Em xin jd intern Tester với ạ,2437
24,50,,,cho em xin jd intern tester với ạ,2438
1,51,14-5-2022 04:14,,Em xin jd java ạ,2440
2,51,9-5-2022 20:11,,cho e xin jd ạ,2442
3,51,27-4-2022 19:15,,E xin jd ạ,2444
4,51,,,Em xin jd intern tester ạ,2445
5,51,,,E xin jd tester với ạ,2446
6,51,,,Cho e xin jd với ạ,2447
7,51,,,Em xin JD tts tester ạ,2448
8,51,,,cho em xin jd java với ạ,2449
9,51,27-4-2022 23:11,,e xin JD với ạ,2451
10,51,8-6-2022 10:41,,"GẤP: VSII CẦN NGAY 10 BẠN INTERN JAVA VỀ TEAM HỨA YÊU THƯƠNG VÀ NO DRAMA
Được đào tạo bài bản, tham gia các dự án thực tế của Công ty.
Địa chỉ: Tòa nhà Dolphin Plaza – 28 Trần Bình, Phường Mỹ Đình 2, Quận Nam Từ Liêm, Hà Nội
L… Xem thêm",2452
11,51,,,e xin jd ạ,2453
12,51,28-4-2022 10:07,,chị check ib em với ạ,2456
13,51,27-4-2022 13:20,,cho em xin jd ạ!,2459
14,51,,,Em xin jd intern tester với ạ,2460
15,51,,,Em xin jd BE ạ,2461
16,51,,,Em xin jd intern java ạ,2462
17,51,,,xin jd font end,2463
18,51,,,Em xin jd với ạ,2464
19,51,,,E xin job Java ạ,2465
20,51,,,E xin jd ạ,2466
21,51,,,Cho mình xin jd fresher ba với ạ,2467
22,51,,,.,2468
23,51,,,Em xin jd intern Tester với ạ,2469
